,close,high,low,open,volume
2016-05-19 09:30:00-04:00,26.53,27.4,26.53,27.32,52400
2016-05-19 10:00:00-04:00,26.8,26.87,26.47,26.53,46047
2016-05-19 10:30:00-04:00,26.54,26.99,26.52,26.8,43534
2016-05-19 11:00:00-04:00,26.52,26.68,26.34,26.54,34917
2016-05-19 11:30:00-04:00,26.64,26.7,26.23,26.52,22987
2016-05-19 12:00:00-04:00,26.59,26.8,26.54,26.63,19172
2016-05-19 12:30:00-04:00,26.46,26.75,26.44,26.6,13692
2016-05-19 13:00:00-04:00,26.89,26.89,26.44,26.46,13243
2016-05-19 13:30:00-04:00,26.94,27.23,26.89,26.89,24629
2016-05-19 14:00:00-04:00,27.42,27.47,26.93,26.96,20382
2016-05-19 14:30:00-04:00,26.92,27.46,26.81,27.43,16803
2016-05-19 15:00:00-04:00,27.44,27.57,26.9,26.92,24581
2016-05-19 15:30:00-04:00,27.64,27.74,27.35,27.45,32287
2016-05-20 09:30:00-04:00,28.47,28.49,28.19,28.25,38506
2016-05-20 10:00:00-04:00,28.32,28.52,28.28,28.47,19597
2016-05-20 10:30:00-04:00,28.24,28.42,28.17,28.32,14027
2016-05-20 11:00:00-04:00,28.34,28.4,28.2,28.24,15640
2016-05-20 11:30:00-04:00,28.36,28.48,28.32,28.34,14369
2016-05-20 12:00:00-04:00,28.47,28.48,28.28,28.36,9665
2016-05-20 12:30:00-04:00,28.48,28.5,28.37,28.46,5939
2016-05-20 13:00:00-04:00,28.43,28.61,28.35,28.47,12670
2016-05-20 13:30:00-04:00,28.39,28.42,28.22,28.42,11070
2016-05-20 14:00:00-04:00,28.72,28.74,28.35,28.39,14027
2016-05-20 14:30:00-04:00,28.53,28.75,28.49,28.73,15341
2016-05-20 15:00:00-04:00,28.36,28.57,28.27,28.55,23235
2016-05-20 15:30:00-04:00,28.63,28.66,28.33,28.35,23165
2016-05-23 09:30:00-04:00,28.62,28.8,28.44,28.7,29179
2016-05-23 10:00:00-04:00,28.91,29.08,28.61,28.62,23563
2016-05-23 10:30:00-04:00,28.88,29.0,28.84,28.9,9403
2016-05-23 11:00:00-04:00,29.05,29.07,28.85,28.88,10288
2016-05-23 11:30:00-04:00,28.92,29.07,28.86,29.05,7772
2016-05-23 12:00:00-04:00,29.1,29.12,28.92,28.93,9714
2016-05-23 12:30:00-04:00,29.12,29.13,28.94,29.09,6874
2016-05-23 13:00:00-04:00,29.06,29.16,29.03,29.12,7359
2016-05-23 13:30:00-04:00,29.08,29.14,29.0,29.06,4491
2016-05-23 14:00:00-04:00,29.13,29.17,29.06,29.08,8059
2016-05-23 14:30:00-04:00,28.98,29.15,28.96,29.12,9173
2016-05-23 15:00:00-04:00,28.85,29.03,28.81,28.97,11748
2016-05-23 15:30:00-04:00,28.8,28.94,28.78,28.85,15010
2016-05-24 09:30:00-04:00,29.35,29.46,29.16,29.2,30533
2016-05-24 10:00:00-04:00,29.43,29.49,29.33,29.35,18374
2016-05-24 10:30:00-04:00,29.58,29.59,29.42,29.43,14636
2016-05-24 11:00:00-04:00,29.58,29.67,29.52,29.58,12125
2016-05-24 11:30:00-04:00,29.82,29.85,29.57,29.59,15138
2016-05-24 12:00:00-04:00,29.79,29.84,29.71,29.81,5865
2016-05-24 12:30:00-04:00,29.92,29.98,29.79,29.8,8606
2016-05-24 13:00:00-04:00,29.85,29.99,29.84,29.92,9484
2016-05-24 13:30:00-04:00,29.9,29.94,29.76,29.87,9115
2016-05-24 14:00:00-04:00,29.98,30.0,29.83,29.9,9149
2016-05-24 14:30:00-04:00,30.07,30.12,29.87,29.99,15707
2016-05-24 15:00:00-04:00,30.17,30.29,30.07,30.08,17841
2016-05-24 15:30:00-04:00,29.98,30.2,29.97,30.17,37184
2016-05-25 09:30:00-04:00,30.87,30.88,30.42,30.45,28945
2016-05-25 10:00:00-04:00,30.9,31.12,30.85,30.86,21537
2016-05-25 10:30:00-04:00,30.81,30.92,30.66,30.9,21988
2016-05-25 11:00:00-04:00,30.72,30.93,30.57,30.82,20012
2016-05-25 11:30:00-04:00,30.7,30.82,30.56,30.73,14871
2016-05-25 12:00:00-04:00,30.4,30.75,30.36,30.71,15934
2016-05-25 12:30:00-04:00,30.52,30.56,30.37,30.4,9939
2016-05-25 13:00:00-04:00,30.74,30.77,30.51,30.51,14939
2016-05-25 13:30:00-04:00,30.66,30.75,30.57,30.74,6620
2016-05-25 14:00:00-04:00,30.58,30.67,30.4,30.66,8337
2016-05-25 14:30:00-04:00,30.27,30.76,30.25,30.58,22637
2016-05-25 15:00:00-04:00,30.53,30.54,30.17,30.27,16703
2016-05-25 15:30:00-04:00,30.5,30.6,30.39,30.53,22302
2016-05-26 09:30:00-04:00,30.5,30.87,30.47,30.56,29686
2016-05-26 10:00:00-04:00,30.87,30.98,30.5,30.5,21673
2016-05-26 10:30:00-04:00,30.52,30.98,30.52,30.87,19286
2016-05-26 11:00:00-04:00,30.76,30.79,30.51,30.52,12032
2016-05-26 11:30:00-04:00,30.73,30.84,30.64,30.77,9250
2016-05-26 12:00:00-04:00,30.69,30.83,30.59,30.73,9643
2016-05-26 12:30:00-04:00,30.65,30.85,30.61,30.69,8127
2016-05-26 13:00:00-04:00,30.71,30.75,30.57,30.66,7243
2016-05-26 13:30:00-04:00,30.75,30.78,30.63,30.71,6145
2016-05-26 14:00:00-04:00,30.85,30.93,30.71,30.75,8158
2016-05-26 14:30:00-04:00,30.85,30.9,30.7,30.85,7844
2016-05-26 15:00:00-04:00,30.87,30.93,30.8,30.84,10141
2016-05-26 15:30:00-04:00,30.85,30.89,30.78,30.87,12527
2016-05-27 09:30:00-04:00,31.21,31.3,31.07,31.1,21951
2016-05-27 10:00:00-04:00,31.36,31.44,31.2,31.21,23103
2016-05-27 10:30:00-04:00,31.28,31.45,31.22,31.37,11121
2016-05-27 11:00:00-04:00,31.35,31.37,31.17,31.28,11359
2016-05-27 11:30:00-04:00,31.36,31.44,31.27,31.36,10074
2016-05-27 12:00:00-04:00,31.43,31.44,31.34,31.36,4900
2016-05-27 12:30:00-04:00,31.28,31.45,31.26,31.44,6186
2016-05-27 13:00:00-04:00,31.31,31.37,31.26,31.27,6335
2016-05-27 13:30:00-04:00,31.21,31.35,30.99,31.31,18070
2016-05-27 14:00:00-04:00,31.47,31.53,31.07,31.2,15340
2016-05-27 14:30:00-04:00,31.46,31.49,31.31,31.46,9960
2016-05-27 15:00:00-04:00,31.49,31.51,31.39,31.46,8170
2016-05-27 15:30:00-04:00,31.68,31.72,31.49,31.49,21353
2016-05-31 09:30:00-04:00,31.96,32.29,31.83,32.16,28074
2016-05-31 10:00:00-04:00,32.11,32.23,31.96,31.96,20048
2016-05-31 10:30:00-04:00,31.94,32.23,31.75,32.11,18058
2016-05-31 11:00:00-04:00,31.56,31.93,31.42,31.93,15359
2016-05-31 11:30:00-04:00,31.12,31.65,31.02,31.56,19058
2016-05-31 12:00:00-04:00,31.05,31.16,30.96,31.12,10746
2016-05-31 12:30:00-04:00,31.09,31.18,30.99,31.05,7550
2016-05-31 13:00:00-04:00,31.35,31.38,30.99,31.08,16421
2016-05-31 13:30:00-04:00,31.17,31.37,31.14,31.35,7747
2016-05-31 14:00:00-04:00,31.04,31.17,30.79,31.17,13929
2016-05-31 14:30:00-04:00,30.9,31.06,30.88,31.04,7527
2016-05-31 15:00:00-04:00,31.4,31.4,30.82,30.9,18418
2016-05-31 15:30:00-04:00,31.74,31.96,31.39,31.4,21300
2016-06-01 09:30:00-04:00,30.95,31.24,30.82,31.19,30075
2016-06-01 10:00:00-04:00,31.11,31.29,30.86,30.95,30947
2016-06-01 10:30:00-04:00,31.4,31.47,31.08,31.1,22764
2016-06-01 11:00:00-04:00,31.57,31.82,31.4,31.4,19594
2016-06-01 11:30:00-04:00,31.77,31.84,31.48,31.56,14519
2016-06-01 12:00:00-04:00,31.97,32.02,31.72,31.78,11954
2016-06-01 12:30:00-04:00,32.01,32.02,31.75,31.98,9583
2016-06-01 13:00:00-04:00,31.82,32.08,31.79,32.02,9081
2016-06-01 13:30:00-04:00,31.74,31.87,31.52,31.81,13083
2016-06-01 14:00:00-04:00,31.98,32.13,31.57,31.74,12358
2016-06-01 14:30:00-04:00,32.07,32.07,31.78,31.97,10068
2016-06-01 15:00:00-04:00,32.14,32.2,31.94,32.07,10798
2016-06-01 15:30:00-04:00,31.98,32.18,31.89,32.13,18186
2016-06-02 09:30:00-04:00,31.3,31.8,31.27,31.6,41357
2016-06-02 10:00:00-04:00,31.44,31.53,31.25,31.29,19100
2016-06-02 10:30:00-04:00,31.58,31.69,31.39,31.44,16953
2016-06-02 11:00:00-04:00,31.73,31.9,31.54,31.59,20396
2016-06-02 11:30:00-04:00,31.87,31.93,31.59,31.75,12785
2016-06-02 12:00:00-04:00,31.79,31.91,31.73,31.88,8133
2016-06-02 12:30:00-04:00,32.17,32.17,31.7,31.79,11052
2016-06-02 13:00:00-04:00,32.16,32.27,32.11,32.17,8912
2016-06-02 13:30:00-04:00,32.51,32.52,32.15,32.15,10860
2016-06-02 14:00:00-04:00,32.62,32.73,32.5,32.5,14112
2016-06-02 14:30:00-04:00,32.66,32.72,32.51,32.63,7124
2016-06-02 15:00:00-04:00,32.75,32.77,32.55,32.65,8886
