Date	Pt	Rt
2016-03-24 09:30:00-04:00	15.89	.
2016-03-24 10:00:00-04:00	15.5	-0.024543738
2016-03-24 11:00:00-04:00	15.7	0.012903226
2016-03-24 12:00:00-04:00	15.83	0.008280255
2016-03-24 13:00:00-04:00	15.61	-0.013897663
2016-03-24 14:00:00-04:00	15.39	-0.01409353
2016-03-24 15:00:00-04:00	14.91	-0.031189084
2016-03-24 16:00:00-04:00	14.74	-0.011401744
2016-03-28 09:30:00-04:00	15.92	0.080054274
2016-03-28 10:00:00-04:00	15.68	-0.015075377
2016-03-28 11:00:00-04:00	15.34	-0.021683673
2016-03-28 12:00:00-04:00	15.04	-0.019556714
2016-03-28 13:00:00-04:00	15.03	-0.000664894
2016-03-28 14:00:00-04:00	15.32	0.019294744
2016-03-28 15:00:00-04:00	15.26	-0.003916449
2016-03-28 16:00:00-04:00	15.24	-0.001310616
2016-03-29 09:30:00-04:00	15.54	0.019685039
2016-03-29 10:00:00-04:00	15.44	-0.006435006
2016-03-29 11:00:00-04:00	15.21	-0.014896373
2016-03-29 12:00:00-04:00	14.69	-0.034188034
2016-03-29 13:00:00-04:00	14.57	-0.008168822
2016-03-29 14:00:00-04:00	14.28	-0.019903912
2016-03-29 15:00:00-04:00	13.9	-0.026610644
2016-03-29 16:00:00-04:00	13.82	-0.005755396
2016-03-30 09:30:00-04:00	13.45	-0.026772793
2016-03-30 10:00:00-04:00	13.26	-0.014126394
2016-03-30 11:00:00-04:00	13.52	0.019607843
2016-03-30 12:00:00-04:00	13.61	0.006656805
2016-03-30 13:00:00-04:00	13.54	-0.005143277
2016-03-30 14:00:00-04:00	13.49	-0.003692762
2016-03-30 15:00:00-04:00	13.51	0.00148258
2016-03-30 16:00:00-04:00	13.56	0.003700962
2016-03-31 09:30:00-04:00	13.78	0.016224189
2016-03-31 10:00:00-04:00	13.77	-0.000725689
2016-03-31 11:00:00-04:00	13.56	-0.015250545
2016-03-31 12:00:00-04:00	13.59	0.002212389
2016-03-31 13:00:00-04:00	13.91	0.023546726
2016-03-31 14:00:00-04:00	14.15	0.017253774
2016-03-31 15:00:00-04:00	14.03	-0.008480565
2016-03-31 16:00:00-04:00	13.95	-0.005702067
2016-04-01 09:30:00-04:00	14.72	0.055197133
2016-04-01 10:00:00-04:00	13.93	-0.053668478
2016-04-01 11:00:00-04:00	13.87	-0.004307251
2016-04-01 12:00:00-04:00	13.83	-0.002883922
2016-04-01 13:00:00-04:00	13.56	-0.019522777
2016-04-01 14:00:00-04:00	13.54	-0.001474926
2016-04-01 15:00:00-04:00	13.1	-0.032496307
2016-04-01 16:00:00-04:00	13.1	0
2016-04-04 09:30:00-04:00	13.67	0.04351145
2016-04-04 10:00:00-04:00	14.14	0.034381858
2016-04-04 11:00:00-04:00	13.99	-0.010608204
2016-04-04 12:00:00-04:00	13.69	-0.021443888
2016-04-04 13:00:00-04:00	14.06	0.027027027
2016-04-04 14:00:00-04:00	14.07	0.000711238
2016-04-04 15:00:00-04:00	14.1	0.002132196
2016-04-04 16:00:00-04:00	14.12	0.00141844
2016-04-05 09:30:00-04:00	15.4	0.090651558
2016-04-05 10:00:00-04:00	15.46	0.003896104
2016-04-05 11:00:00-04:00	15.38	-0.005174644
2016-04-05 12:00:00-04:00	15.57	0.012353706
2016-04-05 13:00:00-04:00	15.28	-0.018625562
2016-04-05 14:00:00-04:00	15.02	-0.017015707
2016-04-05 15:00:00-04:00	15.53	0.033954727
